#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
1,W586,Sld,32,Glenforest,Brampton,Northgate,839000,865000,Detached,Bungalow-Raised,3,0,2,N,1,Double Car,Cen,Gas,2023-01-13,2023-01-15,CENTURY 21
2,W591,Sld,1,Bayridge,Brampton,Vales of Caclemore,899000,1080000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2023-02-16,2023-02-23,"PSR, BROKER"
3,W584,Sld,241,Cresthaven,Brampton,Snelgrove,899900,899900,Detached,Bungalow,2,2,2,Y,1,Double Car,Cen,Gas,2022-12-13,2023-02-07,CENTURY 21
4,W591,Sld,10,Larkfield,Brampton,Madoc,995000,975000,Detached,Sidesplit,3,2,2,Y,1,Double Car,Cen,Gas,2023-02-14,2023-03-03,CENTURY 21
5,W581,Sld,144,Royal Orch,Brampton,Brampton W,998000,935000,Detached,Bungalow-Raised,3,1,3,N,1,Double Car,Cen,Gas,2022-10-28,2023-01-13,RIGHT AT HO
6,W586,Sld,132,Cherrytree,Brampton,Fletcher's Creek,999000,1020000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2023-01-13,2023-01-17,RE/MAX REAL
7,W587,Sld,32,Creekwood,Brampton,Snelgrove,999000,950000,Detached,2-Storey,3,1,4,Y,1,Double Car,Cen,Gas,2023-01-17,2023-01-24,RE/MAX REAL
8,W587,Sld,35,Windswept,Brampton,Northwest,999000,980000,Detached,Bungalow,2,2,3,N,1,Double Car,Cen,Gas,2023-01-20,2023-03-31,ROYAL LEPAG
9,W590,Sld,24,Grand Circ,Brampton,Brampton S,999000,970000,Detached,Bungalow-Raised,3,1,3,N,1,Double Car,Cen,Gas,2023-02-13,2023-02-21,RE/MAX HALL
10,W591,Sld,4,Bimmer,Brampton,Snelgrove,999000,1500000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2023-02-17,2023-02-24,RE/MAX REAL
11,W598,Sld,89,Banbridge,Brampton,Credit Valley,999000,1431000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2023-03-22,2023-03-30,RE/MAX REAL
12,W587,Sld,170,Harold,Brampton,Brampton S,999170,965000,Detached,Backsplit,4,0,3,Y,1,Double Car,Cen,Gas,2023-01-23,2023-02-03,ROYAL LEPAG
13,W582,Sld,251,Kingswood,Brampton,Brampton N,999900,850000,Detached,2-Storey,4,3,4,Y,1,Double Car,Cen,Gas,2022-11-14,2023-01-19,RIGHT AT HO
14,W586,Sld,462,Father Tob,Brampton,Sandringham,999900,1040000,Detached,2-Storey,3,0,3,Y,1,Double Car,Cen,Gas,2023-01-07,2023-01-08,RE/MAX GOLD
15,W594,Sld,27,Sailwind,Brampton,Sandringham,999999,1300000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2023-03-03,2023-03-06,SAVE MAX RI
16,W594,Sld,2,Redfern,Brampton,Northwest,1049900,1150000,Detached,2-Storey,3,1,4,Y,1,Double Car,Cen,Gas,2023-03-03,2023-03-13,CENTURY 21
17,W592,Sld,23,Meadow Gla,Brampton,Sandringham,1049911,1090000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2023-02-20,2023-03-07,TRIMAXX REA
18,W587,Sld,17,Teston,Brampton,Fletcher's Creek,1099900,1017000,Detached,2-Storey,3,1,3,Y,1,Double Car,Cen,Gas,2023-01-16,2023-02-03,"EXP REALTY,"
19,W592,Sld,11,Fairservic,Brampton,Sandringham,1099900,1300000,Detached,2-Storey,4,1,4,N,1,Double Car,Cen,Gas,2023-02-23,2023-02-28,RE/MAX REAL
20,W590,Sld,6,Selhurst,Brampton,Vales of Caclemore,1099999,1290000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2023-02-09,2023-02-13,HOMELIFE/MI
21,W579,Sld,321,Eden Brook,Brampton,Fletcher's Creek,1129000,1060000,Detached,2-Storey,3,0,3,Y,1,Double Car,Cen,Gas,2022-10-13,2023-03-02,REMAX SUPER
22,W584,Sld,8,Mainard,Brampton,Sandringham,1149800,1100000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-12-12,2023-01-03,RE/MAX REAL
23,W586,Sld,91,National,Brampton,Snelgrove,1150000,1065000,Detached,2-Storey,3,2,4,N,1,Double Car,Cen,Gas,2023-01-10,2023-01-20,AXXESS REAL
24,W593,Sld,28,Linderwood,Brampton,Fletcher's Creek,1150000,1050000,Detached,2-Storey,3,0,3,Y,1,Double Car,Cen,Gas,2023-02-24,2023-03-25,HOMELIFE SU
25,W596,Sld,23,Freesia,Brampton,Northwest,1169990,1112000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2023-03-13,2023-03-13,RE/MAX CENT
26,W592,Sld,75,Buttercup,Brampton,Sandringham,1189000,1280000,Detached,2-Storey,4,3,4,Y,1,Double Car,Cen,Gas,2023-02-21,2023-03-24,CIRCLE REAL
27,W594,Sld,42,Fallstar,Brampton,Fletcher's Creek,1195000,1157000,Detached,2-Storey,3,0,4,Y,1,Double Car,Cen,Gas,2023-03-01,2023-03-22,HOMELIFE/VI
28,W5846989,Sld,22,Octillo,Brampton,Sandringham,1199000,1140000,Detached,2-Storey,1,0,4,Y,1,Double Car,Cen,Gas,2022-12-07,2023-01-01,ROYAL LEPAG
29,W5875393,Sld,13,Berryfield,Brampton,Sandringham,1199000,1170000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2023-01-19,2023-01-27,ROYAL STAR
30,W5879865,Sld,119,Degrassi C,Brampton,Credit Valley,1199000,1300000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2023-01-25,2023-01-26,HOMELIFE SI
